drgv22,drg_title,mdc,mdc_name,drg_type,relative_weights,geometric_mean_los
234,OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W/O CC,08,Musculoskeletal (Bones & Joints),SURG,1.1643,2.5
235,FRACTURES OF FEMUR,08,Musculoskeletal (Bones & Joints),MED,0.7512,3.7
236,FRACTURES OF HIP & PELVIS,08,Musculoskeletal (Bones & Joints),MED,0.7544,3.9
237,"SPRAINS, STRAINS, & DISLOCATIONS OF HIP, PELVIS & THIGH",08,Musculoskeletal (Bones & Joints),MED,0.6063,3.0
238,OSTEOMYELITIS,08,Musculoskeletal (Bones & Joints),MED,1.3708,6.5
239,PATHOLOGICAL FRACTURES & MUSCULOSKELETAL & CONN TISS MALIGNANCY,08,Musculoskeletal (Bones & Joints),MED,1.0811,5.0
240,CONNECTIVE TISSUE DISORDERS W CC,08,Musculoskeletal (Bones & Joints),MED,1.35,4.9
241,CONNECTIVE TISSUE DISORDERS W/O CC,08,Musculoskeletal (Bones & Joints),MED,0.6679,3.0
242,SEPTIC ARTHRITIS,08,Musculoskeletal (Bones & Joints),MED,1.1618,5.3
243,MEDICAL BACK PROBLEMS,08,Musculoskeletal (Bones & Joints),MED,0.7712,3.7
244,BONE DISEASES & SPECIFIC ARTHROPATHIES W CC,08,Musculoskeletal (Bones & Joints),MED,0.7137,3.6
245,BONE DISEASES & SPECIFIC ARTHROPATHIES W/O CC,08,Musculoskeletal (Bones & Joints),MED,0.4741,2.6
246,NON-SPECIFIC ARTHROPATHIES,08,Musculoskeletal (Bones & Joints),MED,0.5977,2.9
247,SIGNS & SYMPTOMS OF MUSCULOSKELETAL SYSTEM & CONN TISSUE,08,Musculoskeletal (Bones & Joints),MED,0.5825,2.6
248,"TENDONITIS, MYOSITIS & BURSITIS",08,Musculoskeletal (Bones & Joints),MED,0.8417,3.8
249,"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE",08,Musculoskeletal (Bones & Joints),MED,0.7006,2.6
250,"FX, SPRN, STRN & DISL OF FOREARM, HAND, FOOT AGE >17 W CC",08,Musculoskeletal (Bones & Joints),MED,0.6908,3.1
251,"FX, SPRN, STRN & DISL OF FOREARM, HAND, FOOT AGE >17 W/O CC",08,Musculoskeletal (Bones & Joints),MED,0.483,2.3
252,"FX, SPRN, STRN & DISL OF FOREARM, HAND, FOOT AGE 0-17",08,Musculoskeletal (Bones & Joints),MED,0.2555,1.8
253,"FX, SPRN, STRN & DISL OF UPARM,LOWLEG EX FOOT AGE >17 W CC",08,Musculoskeletal (Bones & Joints),MED,0.7664,3.7
254,"FX, SPRN, STRN & DISL OF UPARM,LOWLEG EX FOOT AGE >17 W/O CC",08,Musculoskeletal (Bones & Joints),MED,0.4555,2.5
255,"FX, SPRN, STRN & DISL OF UPARM,LOWLEG EX FOOT AGE 0-17",08,Musculoskeletal (Bones & Joints),MED,0.2976,2.9
256,OTHER MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE DIAGNOSES,08,Musculoskeletal (Bones & Joints),MED,0.8218,3.9
257,TOTAL MASTECTOMY FOR MALIGNANCY W CC,09,Skin & Tissue,SURG,0.9117,2.1
258,TOTAL MASTECTOMY FOR MALIGNANCY W/O CC,09,Skin & Tissue,SURG,0.7155,1.6
259,SUBTOTAL MASTECTOMY FOR MALIGNANCY W CC,09,Skin & Tissue,SURG,0.9816,1.8
260,SUBTOTAL MASTECTOMY FOR MALIGNANCY W/O CC,09,Skin & Tissue,SURG,0.6982,1.2
261,BREAST PROC FOR NON-MALIGNANCY EXCEPT BIOPSY & LOCAL EXCISION,09,Skin & Tissue,SURG,0.9725,1.6
262,BREAST BIOPSY & LOCAL EXCISION FOR NON-MALIGNANCY,09,Skin & Tissue,SURG,0.9711,3.2
263,SKIN GRAFT &/OR DEBRID FOR SKN ULCER OR CELLULITIS W CC,09,Skin & Tissue,SURG,2.0413,8.3
264,SKIN GRAFT &/OR DEBRID FOR SKN ULCER OR CELLULITIS W/O CC,09,Skin & Tissue,SURG,1.0679,4.9
265,SKIN GRAFT &/OR DEBRID EXCEPT FOR SKIN ULCER OR CELLULITIS W CC,09,Skin & Tissue,SURG,1.598,4.2
266,SKIN GRAFT &/OR DEBRID EXCEPT FOR SKIN ULCER OR CELLULITIS W/O CC,09,Skin & Tissue,SURG,0.8616,2.3
267,PERIANAL & PILONIDAL PROCEDURES,09,Skin & Tissue,SURG,0.9036,2.8
268,"SKIN, SUBCUTANEOUS TISSUE & BREAST PLASTIC PROCEDURES",09,Skin & Tissue,SURG,1.2052,2.4
269,"OTHER SKIN, SUBCUT TISS & BREAST PROC W CC",09,Skin & Tissue,SURG,1.756,6.1
270,"OTHER SKIN, SUBCUT TISS & BREAST PROC W/O CC",09,Skin & Tissue,SURG,0.8173,2.6
271,SKIN ULCERS,09,Skin & Tissue,MED,1.0233,5.5
272,MAJOR SKIN DISORDERS W CC,09,Skin & Tissue,MED,1.0219,4.5
273,MAJOR SKIN DISORDERS W/O CC,09,Skin & Tissue,MED,0.5968,2.9
274,MALIGNANT BREAST DISORDERS W CC,09,Skin & Tissue,MED,1.1249,4.6
275,MALIGNANT BREAST DISORDERS W/O CC,09,Skin & Tissue,MED,0.5735,2.2
276,NON-MALIGANT BREAST DISORDERS,09,Skin & Tissue,MED,0.7233,3.7
277,CELLULITIS AGE >17 W CC,09,Skin & Tissue,MED,0.8877,4.7
278,CELLULITIS AGE >17 W/O CC,09,Skin & Tissue,MED,0.5531,3.5
279,CELLULITIS AGE 0-17,09,Skin & Tissue,MED,0.7785,4.2
